,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Barbary Coast,1 ounce gin,1 ounce Scotch whiskey,1 ounce crème de cacao,1 ounce cream,1 tablespoon lemon juice,3 or 4 ice cubes,,,,,,,,
Jack Rosé I,1 1/2 ounces applejack,1/2 ounce grenadine,1 1/2 tablespoons lime juice,3 or 4 ice cube,,,,,,,,,,
Dog's Nose,2 ounces gin,8 ounces chilled beer or stout,,,,,,,,,,,,
Whisper,3/4 ounce Scotch whisky,3/4 ounce dry vermouth,3/4 ounce sweet vermouth,3 or 4 ice cubes,,,,,,,,,,
Dry Rob Roy,3 ounces Scotch whisky,1/2 ounce sweet vermouth,2 dashes Angostura bitters,5 or 6 ice cubes,Twist orange or lemon peel,,,,,,,,,
Perfect Martini,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,3 or 4 ice cubes,Orange peel,,,,,,,,,
Pink Slipper,"1 cup (about 3/4 of 12-ounce can) frozen pink lemonade concentrate, thawed",1/2 cup canned cream of coconut (such as Coco-Lopez),1/2 cup white rum,1 tablespoon grenadine,2 ice cubes,Garnish: maraschino cherries,,,,,,,,
Pink Pony,2 ounces (2 ponies) light tequila,1/3 cup chilled cranberry juice,1/4 cup chilled apple juice,Chilled club soda or seltzer water,,,,,,,,,,
Martini III,Ice cubes,1 cup gin,1 tablespoon dry vermouth,4 large pimento-stuffed green olives,,,,,,,,,,
Tago,1 ounce gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,1/2 teaspoon curaçao,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,
Farmer's,1 ounce gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,2 dashes Angostura bitters,3 or 4 ice cubes,,,,,,,,,
Jeyplak,1 1/2 ounces gin,1/2 ounce sweet vermouth,2 dashes Pernod,3 or 4 ice cubes,Cherry,,,,,,,,,
Bronx River,1 1/2 ounces gin,1/2 ounce sweet vermouth,1 tablespoon lemon juice,1/4 teaspoon superfine sugar,3 or 4 ice cubes,,,,,,,,,
Jack Rosé II,1 cup ice cubes,1/2 cup applejack or apple brandy,1/4 cup sweet and sour mix,2 tablespoons fresh lime juice,1 teaspoon sugar,1 teaspoon grenadine syrup,"1 thin round lime slice, cut crosswise in half",,,,,,,
Pear Zinger,1/4 cup pear brandy,2 teaspoons lemon juice,Ice cubes,1 cup ginger ale,,,,,,,,,,
Peter Pan,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce peach brandy,3/4 ounce orange juice,3 or 4 ice cubes,,,,,,,,,
Favortie,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce apricot brandy,Dash lemon juice,3 or 4 ice cubes,,,,,,,,,
Aquavit Bloody Mary,1 cup aquavit,4 cups tomato vegetable juice,2 tablespoons bottled horseradish,2 tablespoons Worcestershire sauce,3 tablespoons fresh lemon juice,1/2 teaspoon Tabasco,1/4 teaspoon pepper,6 small celery ribs and lemon slices for garnish,,,,,,
Commercial Club Gin Old Fashioned,1 1/2 ounces gin,2 dashes grenadine,Dash Angostura bitters,1 teaspoon coconut cream,Dash curaçao,1/2 cup crushed ice,3 or 4 ice cubes,,,,,,,
Southern Bride,1 1/2 ounces gin,3/4 ounce grapefruit juice,1 teaspoon maraschino,3 or 4 ice cubes,,,,,,,,,,
Colonial or Grapefruit,1 1/2 ounces gin,1/2 ounce grapefruit juice,1 teaspoon maraschino,3 or 4 ice cubes,,,,,,,,,,
Tom Collins,1 1/2 tablespoons fresh lemon juice,1 1/2 teaspoons superfine sugar,1 1/2 ounces (1 jigger) gin,club soda or seltzer water,1 lemon slice for garnish,,,,,,,,,
Manhattan II,1 1/2 ounces (1 jigger) bourbon or other whiskey,1 tablespoon sweet vermouth,a dash of Angostura bitters,1 lemon twist for garnish,Ice cubes,,,,,,,,,
Rob Roy II,1 1/2 ounces (1 jigger) Scotch,1 1/2 ounces (1 jigger) sweet or dry vermouth,Dash of Angostura bitters,1 lemon twist for garnish,Ice cubes,,,,,,,,,
Chelsea Sidecar,1 1/2 ounces gin,3/4 ounce Triple Sec,1 tablespoon lemon juice,1/2 cup crushed ice,,,,,,,,,,
Chappelle,2 slices fresh pineapple,1 ounce gin,1 ounce sweet vermouth,2 tablespoons lime juice,3 or 4 ice cubes,,,,,,,,,
Chanticleer,2 to 3 ounces gin,2 tablespoons lemon juice,1 tablespoon raspberry syrup,1 egg white,3 or 4 ice cubes,,,,,,,,,
Casino,2 ounces gin,1/2 teaspoon maraschino,2 dashes orange bitters,2 dashes lemon juice,3 or 4 ice cubes,,,,,,,,,
Judgette,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce peach brandy,Dash lime juice,3 or 4 ice cubes,Maraschino cherry,,,,,,,,
Grapefruit Rum Cooler,4 mint sprigs,"1 tablespoon superfine sugar, or to taste",2/3 cup fresh grapefruit juice,"1 1/2 tablespoons fresh lemon or lime juice, or to taste","3 ounces light rum (6 tablespoons), or to taste",chilled club soda or seltzer water,Angostura bitters to taste,Garnish: grapefruit wedges and mint sprigs,,,,,,
Cooperstown,1 ounce gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,Sprig of mint,3 or 4 ice cubes,,,,,,,,,
Royal Fizz,2 ounces gin,2 tablespoons lemon juice,1 teaspoon superfine sugar,1 egg,3 or 4 ice cubes,Club soda,,,,,,,,
Elk,1 ounce dry gin,1 ounce prunelle,2 dashes dry vermouth,3 or 4 ice cubes,,,,,,,,,,
Homestead,1 1/2 ounces gin,1/2 ounce sweet vermouth,Orange slice,3 or 4 ice cubes,,,,,,,,,,
Bluebird,2 to 3 ounces gin,4 dashes Angostura Bitters,4 dashes curaçao,3 or 4 ice cubes,Twist lemon peel,Maraschino cherry,,,,,,,,
Turquoise Margarita,6 lime slices,Coarse salt,1 1/4 cups Margarita mix,3/4 cup tequila,1/4 cup blue curaçao,"1/2 lime, quartered",4 cups ice,,,,,,,
Chocolate Soldier,1 1/2 ounces gin,3/4 ounce Dubonnet,1 tablespoon lime juice,3 or 4 ice cubes,,,,,,,,,,
Mojito II,2 fresh mint sprigs,2 teaspoons sugar,2 tablespoons fresh lemon juice,1 1/2 ounces (1 jigger) light rum,Chilled club soda or seltzer water,Garnish: fresh mint sprig and lemon slices,,,,,,,,
Raspberry Champagne Cocktail,2 1/2-pint baskets fresh raspberries,2 tablespoons sugar,1/2 cup plus 2 tablespoons raspberry liqueur,1/4 cup cognac or other brandy,8 sugar cubes,1 750-ml bottled chilled brut champagne,Fresh raspberries,Lemon peel strips,,,,,,
Parisian or Cocktail Maison,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce crème de cassis,3 or 4 ice cubes,,,,,,,,,,
Knockout,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce Pernod,1 teaspoon white crème de menthe,3 or 4 ice cubes,Mint leaves,,,,,,,,
Brown,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,3/4 to 1 ounce light rum,Dash lemon juice,3 or 4 ice cubes,,,,,,,,,
Horse's Neck III,1 lemon,2 jiggers (3 ounces) gin,Chilled ginger ale,,,,,,,,,,,
Tequila Sunrise,2/3 cup tequila,3 cups fresh orange juice,"1 tablespoon grenadine, or to taste",6 orange slices for garnish,,,,,,,,,,
Orange and Apricot Rum Fizz,1-1/1 cups chilled orange juice,1/2 cup light rum,1/4 cup apricot brandy,2 tablespoons lime juice,chilled club soda or seltzer water,lime slices for garnish,,,,,,,,
Two-Dollar Cocktail,ice cubes,1 1/2 ounces (1 jigger) French brandy,1 1/2 ounces (1 jigger) Curaçao,a lemon twist for garnish if desired,,,,,,,,,,
Watermelon Vodka Cooler,1/4 cup water,1/4 cup sugar,2 cups seeded watermelon chunks (about 1 1/2 pounds with rind),"2 ounces vodka, or to taste","1/4 cup fresh lime juice, or to taste",Garnish: two 5- to 6-inch- long thin slices watermelon rind with some flesh attached,,,,,,,,
Passion-Fruit Champagne Cocktail,1 cup chilled passion fruit blend nectar,1/2 teaspoon Angostura bitters,1 cup chilled champagne or other sparkling white wine,4 fresh raspberries or small strawberries,"1 orange slice, cut in half",,,,,,,,,
Brazen Hussy,1 ounce vodka,1 ounce Cointreau or triple sec,1/2 ounce lemon juice,,,,,,,,,,,
Leapfrog,1 1/2 ounces gin,2 tablespoons lemon juice,1/2 cup cracked ice,Ginger ale,,,,,,,,,,
Bootleg Fizz,3 ounces gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,1 egg white,3 or 4 ice cubes,Sprig of mint,Club soda,,,,,,
Frozen Daiquiri,2 ounces light rum,1 1/2 tablespoons lime juice,1/2 teaspoons superfine sugar,1 cup crushed ice,,,,,,,,,,
Smash,1 teaspoon superfine sugar,2 sprigs fresh mint,1/2 cup crushed ice,"1 1/2 to 3 ounces liquor (brandy, gin, rum or any whiskey)",Club soda,Fresh mint for garnish,,,,,,,,
Whiskey Flip,3 ounces whiskey,1 whole egg,1 teaspoon superfine sugar,2 teaspoons heavy cream (optional),1/2 cup crushed ice,Nutmeg,,,,,,,,
Harry Lauder,1 1/2 ounces Scotch whisky,1 1/2 ounces sweet vermouth,2 dashes sugar syrup,3 or 4 ice cubes,,,,,,,,,,
Brandy Puff,1 or 2 ice cubes,1 1/2 to 3 ounces brandy,1 1/2 to 3 ounces milk,Chilled club soda,,,,,,,,,,
Pineapple Lemonade,"2 slices pineapple, coarsely chopped",1 teaspoon superfine sugar,1 1/2 ounces brandy,Dash raspberry syrup,1/2 cup crushed ice,Club soda,Twist lemon peel,Pineapple stick,,,,,,
Pineapple Mist,2 ounces crushed pineapple,2 ounces crushed ice,1 1/2 ounces light rum,Maraschino cherry,,,,,,,,,,
Eclipse,Maraschino cherry or ripe olive,1/2 ounce grenadine (approx.),1 1/2 to 2 ounces sloe gin,3/4 to 1 ounce gin,3 or 4 ice cubes,Twist orange peel,,,,,,,,
Summer Bourbon,1 1/2 ounces bourbon,3 ounces orange juice,Pinch salt,1/2 cup crushed ice,,,,,,,,,,
Pineapple Daiquiri,1 1/2 ounces light rum,3/4 ounce pineapple juice,1/2 teaspoon lime or lemon juice,3 or 4 ice cubes,,,,,,,,,,
Mango Daiquiri,2 ounces light rum,1 ounce curaçao,1/2 cup mango puree,2 tablespoons lime juice,1 tablespoon superfine sugar,1 cup crushed ice,,,,,,,,
Ethel Duffy,3/4 ounce apricot brandy,3/4 ounce white crème de menthe,3/4 ounce curaçao,3 or 4 ice cubes,,,,,,,,,,
Manhattan Cooler I,4 ounces claret,3 dashes rum,2 tablespoons lemon juice,1 or 2 teaspoons superfine sugar,3 or 4 ice cubes,Fruit for garnish (optional),,,,,,,,
Mar-Tea-Ni,4 cups water,3 Red Zinger tea bags or other hibiscus-flavored tea,1/2 cup sugar,3 cups gin,2 1/2 teaspoons vermouth,12 ice cubes,12 mango slices,,,,,,,
Honolulu,3/4 ounce gin,3/4 ounce Bénédictine,3/4 ounce maraschino liqueur,3 or 4 ice cubes,,,,,,,,,,
Brandy Blazer No.2,1 lump sugar,1 twist orange peel,1 twist lemon peel,2 to 3 ounces brandy,,,,,,,,,,
After Supper,1 1/2 ounces apricot brandy,1 1/2 ounces curaçao,3 tablespoons lemon juice,3 or 4 ice cubes,,,,,,,,,,
Pope,1 large orange,20 cloves (approx.),2 tablespoons sugar (brown if you prefer),1 quart red Burgundy,6 ounces brandy,,,,,,,,,
Blarney Stone,1 1/2 to 2 ounces Irish whiskey,1/2 teaspoon Pernod,1/2 teaspoon curaçao,1/2 teaspoon maraschino,Dash Angostura bitters,1/2 cup crushed ice,Twist orange peel,Olive (optional),,,,,,
Eddie Brown,1 1/2 ounces gin,1/2 ounce Lillet,2 dashes apricot brandy,3 or 4 ice cubes,Twist lemon peel,,,,,,,,,
Hasty,1 1/2 ounces gin,1/2 ounce dry vermouth,Dash Pernod,1/4 teaspoon grenadine,3 or 4 ice cubes,,,,,,,,,
Cameron's Kick,3/4 ounce Scotch whiskey,3/4 ounce Irish whiskey,1/2 tablespoon lemon juice,1/2 tablespoon orgeat syrup (or 2 dashes orange bitters),3 or 4 ice cubes,,,,,,,,,
Fare-Thee-Well,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes sweet vermouth,1/2 teaspoon curaçao,3 or 4 ice cubes,,,,,,,,,
Baron,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes sweet vermouth,6 dashes curaçao,3 or 4 ice cubes,Lemon peel,,,,,,,,
Orange Blossom (or Golden Gate),1 1/2 ounces gin,2 tablespoons orange juice,Pinch superfine sugar (optional),3 or 4 ice cubes,,,,,,,,,,
Brandy Alexander I,3/4 ounce brandy,3/4 ounce crème de cacao,3/4 ounces heavy cream,2 dashes Angostura bitters,3 or 4 ice cubes,,,,,,,,,
Zombie,3/4 ounces 90-proof rum,"1 1/2 ounces golden rum, 86 proof","3/4 ounces light rum, 86 proof",3/4 ounces pineapple juice,3/4 ounces papaya juice,3 tablespoons lime juice,1 teaspoon superfine sugar,3 or 4 ice cubes,Pineapple spear,Maraschino cherry,1 tablespoon 151-proof rum,Superfine sugar,,
Iced Irish Coffee,1 cup freshly brewed iced coffee,1 teaspoon superfine sugar,2 tablespoons whipped cream,2 ounces Irish whiskey,,,,,,,,,,
Tuxedo,1 to 1 1/2 ounces gin,1 to 1 1/2 ounces dry vermouth,2 dashes Pernod,3 or 4 ice cubes,Twist lemon peel,Dash Maraschino,2 dashes orange bitters,Maraschino cherry,,,,,,
Deep Sea,1 to 1 1/2 ounces gin,1 to 1 1/2 ounces dry vermouth,2 dashes Pernod,1/4 teaspoon superfine sugar,3 or 4 ice cubes,Twist lemon peel,Dash orange bitters,Olive,,,,,,
Irish,1/2 teaspoon Pernod,1/2 teaspoon curaçao,1/2 teaspoon maraschino,Dash Angostura bitters,3 to 4 ice cubes,Twist orange peel,,,,,,,,
Third Rail II or Sledgehammer,3/4 ounces brandy,3/4 ounces Calvados or applejack,3/4 ounces light rum,Dash Pernod,3 or 4 ice cubes,,,,,,,,,
Red or White Wine Cooler,2 teaspoons superfine sugar,1 teaspoon cold water,1 tablespoon orange juice,3 or 4 ice cubes,Chilled red or white wine,Lemon or orange slice,,,,,,,,
Whispers of the Forest,3/4 ounce Scotch whisky,3/4 ounce dry sherry,3/4 ounce Port,2 dashes Angostura bitters (or orange bitters),3 or 4 ice cubes,Twist lemon peel,Maraschino cherry,,,,,,,
Hole in One,1 1/2 ounces Scotch whisky,3/4 ounce dry vermouth,1/4 teaspoon lemon juice,2 dashes orange bitters,1/2 cup crushed ice,Olive,,,,,,,,
Abbey,1 1/2 ounces gin,2 tablespoons orange juice,Pinch superfine sugar (optional),3 or 4 ice cubes,Dash of orange bitters,Maraschino cherry,,,,,,,,
Special Rough,3/4 ounces brandy,3/4 ounces Calvados or applejack,Dash Pernod,3 or 4 ice cubes,,,,,,,,,,
Kir Royale with Vanilla Cognac,1 cup Cognac or brandy,"1 large vanilla bean, split lengthwise",1/2 cup crème de cassis (black-currant-flavored liqueur),3 750-ml bottles brut Champagne,,,,,,,,,,
Strawberry-Banana Smoothie,2 cups sliced hulled strawberries (about 1 one-pint basket),1/4 cup sugar,"1 ripe large banana, peeled, sliced",1/2 cup chopped pitted peeled mango,1/2 cup chilled plain nonfat yogurt,6 ice cubes,1 teaspoon vanilla extract,"Optional garnish: additional strawberries, left whole",,,,,,
Southwestern Bloody Mary,3 cups canned vegetable juice,2 tablespoons fresh lemon juice,1 tablespoon minced fresh cilantro,1 tablespoon Worcestershire sauce,1 teaspoon finely minced seeded canned chipotle chilies,1 teaspoon ground cumin,1 teaspoon sugar,2/3 cup chilled vodka,Ice cubes,6 celery stalks with leafy tops,"6 fresh red chilies, slit",,,
Passion Fruit Mimosas,6 tablespoons fresh passion fruit juice or passion fruit blend nectar,1 cup chilled brut Champagne (about 2/3 of 375-ml bottle),2 tablespoons Grand Marnier,Orange peel twists (optional),,,,,,,,,,
Mixed-Berry Daiquiri,"1 10-ounce package frozen sweetened raspberries, thawed","1 cup frozen unsweetened boysenberries, thawed",20 ice cubes (about 3 cups),"1 10-ounce package frozen sweetened strawberries, unthawed, cut into 8 pieces",1 cup light rum,1/3 cup fresh lime juice,1 tablespoon powdered sugar,4 fresh whole strawberries,4 lime wedges,,,,,
Kir Vodka Martini,Ice cubes,2/3 cup currant-flavored vodka,2 teaspoons crème de cassis (black currant-flavored liqueur),2 lemon twists,,,,,,,,,,
Mango-Boysenberry Mimosa,"2 cups frozen unsweetened boysenberry, thawed",2 tablespoons sugar,3 cups chilled orange juice (do not use freshly squeezed),1 1/2 cups frozen orange-peach-mango juice concentrate,1 750-ml bottle of chilled dry champagne,10 small orange slices,,,,,,,,
Lemon Anise Slush,1/2 cup fresh lemon juice,1/2 cup sugar,1/2 teaspoon anise seeds,3/4 cup vodka or water,"About 4 cups ice cubes, cracked if large",,,,,,,,,
Mint Julep Spritzer,3/4 cup fresh lemon juice,2/3 cup sugar,1 cup (packed) fresh mint leaves,1 cup bourbon,2 10-ounce bottles of chilled club soda,6 cups crushed ice,8 fresh mint sprigs,,,,,,,
Blue Moon Sake Cocktail,1/4 cup cold sake,1/4 cup peach Stolichnaya vodka,4 teaspoons blue curaçao,2 teaspoons sweet-and-sour mix,Ice cubes,,,,,,,,,
Tropical Rum Punch,1 1/3 cups gold rum,"1 1/3 cups frozen passion-fruit-flavored juice cocktail concentrate, thawed",1 cup mango nectar,1 cup guava nectar,2 tablespoons (or more) fresh lime juice,4 cups ice cubes,6 fresh pineapple wedges,,,,,,,
Lemon-Cassis Martini,3/4 cup vodka,4 teaspoons fresh lemon juice,2 teaspoons sugar,1/2 teaspoon grated lemon peel,1 tablespoon crème de cassis,Ice cubes,Lemon peel twists,,,,,,,
Spumante-Vodka Cocktail with Lemon Sorbet,1 pint (2 cups) frozen lemon sorbet,1 1/2 cups spumante or champagne,6 tablespoons vodka,6 tablespoons whipping cream,,,,,,,,,,
Imperial Hotel Fizz,1 1/2 ounces whiskey,3/4 ounce light rum,1 teaspoon lemon juice,1 1/2 tablespoons lime juice,1 teaspoon superfine sugar,3 or 4 ice cubes,Club soda,,,,,,,
Kup's Indispensable,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,3 or 4 ice cubes,Dash Angostura bitters,Twist orange peel,,,,,,,,
Rosé in June Fizz,1 1/2 ounces gin,1 1/2 ounces framboise,1/2 cup orange juice,4 tablespoons lime juice,3 or 4 ice cubes,Club soda,,,,,,,,
Rum Old-Fashioned,1 cube sugar,2 or 3 dashes Angostura or orange bitters,Twist lemon peel,2 or 3 ice cubes,2 ounces light rum,Slice orange,Maraschino cherry,,,,,,,
Grasshopper II,2 tablespoons green crème de menthe,3 tablespoons white crème de cacao,3 tablespoons heavy cream,Ice cubes,,,,,,,,,,
Pineapple Mint Frozen Daiquiri,"1/3 cup light or amber rum, or to taste",1 1/2 cups 1-inch pineapple chunks,"2 tablespoons superfine sugar, or to taste","2 teaspoons fresh lime juice, or to taste",3 fresh mint leaves,2 cups ice cubes,Garnish: mint sprigs and/or pineapple chunks skewered with wooden picks,,,,,,,
Cider and Tequila Hot Toddy,4 cups apple cider,1 cup cranberry juice cocktail,1/2 cup tequila,1/4 cup Triple Sec or other orange-flavored liqueur,Garnish: lime slices,,,,,,,,,
Seventh Heaven,1 1/2 ounces gin,1 tablespoon grapefruit juice,1/2 ounce maraschino,3 or 4 ice cubes,Sprig fresh mint,,,,,,,,,
Damn the Weather II,2 cups Ruby Port,1 cup unsweetened pineapple juice,1 cup fresh orange juice,1 teaspoon fresh lemon juice,Chilled club soda or seltzer water,6 lemon slices for garnish,,,,,,,,
Club,1 1/2 ounces gin,1/2 ounce sweet vermouth,3 or 4 ice cubes,Maraschino cherry or olive,,,,,,,,,,
Café Iguana Margarita,Lime wedges,Coarse salt,3 1/2 cups Homemade Sweet-and-Sour Mix for Margaritas (click for recipe),1 cup gold tequila,1/2 cup Triple Sec,16 ice cubes,12 lime slices,,,,,,,
Bloody Bull,2 cups spicy vegetable juice (such as spicy hot V-8) or spicy tomato juice,1 cup canned double-strength beef broth,3/4 cup vodka,1/4 cup Worcestershire sauce,2 tablespoons fresh lime juice,1 teaspoon garlic powder,4 cups ice cubes,"4 green onions, trimmed",,,,,,
Zombie II,1 1/2 ounces (1 jigger) light rum,1 1/2 ounces (1 jigger) amber rum,1 1/2 ounces (1 jigger) dark rum,1 tablespoon apricot liqueur (not brandy),2 tablespoons fresh lime juice,2 tablespoons unsweetened pineapple juice,Cracked ice,Orange and lime slices for garnish,,,,,,
Spiced Tea with Pimm's,4 tea bags,3 tablespoons sugar,"Two 4-inch cinnamon sticks, broken into pieces, plus additional sticks for garnish",2 cloves,"Two 3-inch strips of orange zest removed with a vegetable peeler, plus strips of rind removed with a channel knife for garnish",1 cup Pimm's No. 1 Cup,,,,,,,,
Lemon Martinis,1 1/2 cups gin,8 ice cubes,2 teaspoons dry vermouth,6 teaspoons fresh lemon juice,,,,,,,,,,
Piña Colada Punch,8 ounces (1 cup) well-stirred canned cream of coconut,2 1/2 cups unsweetened pineapple juice,1 1/2 cups light rum,"2 cups ice cubes, or to taste","a wedge of fresh pineapple with its leaves for garnish plus additional small, thin wedges for garnishing the drinks",,,,,,,,,
Mojito with Basil,"2 fresh mint sprigs, chopped","2 fresh basil sprigs, chopped",1 tablespoon sugar,3 tablespoons fresh lime juice,1 1/2 ounces (3 tablespoons) light rum,Chilled club soda or seltzer water,,,,,,,,
Smiler,1 ounce gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,2 dashes Angostura bitters,Dash orange bitters,3 or 4 ice cubes,,,,,,,,
Maurice,1 ounce gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,2 dashes Angostura bitters,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,
Whale Watcher,1 tablespoon sugar,1 tablespoon hot water,2 cups ice cubes,1/2 cup grapefruit juice,2 tablespoons fresh lemon juice,2 tablespoons amber rum,2 tablespoons crème de banana,2 tablespoons Myer's Original Rum Cream,1 tablespoon grenadine,,,,,
Diablo Tequila 'n' Tonic,1 lime,2 cups white tequila,"2 to 3 jalapeños, halved lengthwise seeded",6 cups (1 1/2 quarts) tonic water,,,,,,,,,,
Napoleon Champagne Cocktail,6 sugar cubes,Bitters,6 teaspoons Cognac,6 tablespoons Grand Marnier or other orange liqueur,1 750-ml bottle chilled champagne (preferably extra dry),6 orange peel strips,,,,,,,,
Dixie,3/4 ounce gin,1/2 ounce Pernod,1/2 ounce dry vermouth,2 dashes grenadine,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,
Crimson,2 ounces gin,2 teaspoons lemon juice,1 teaspoon grenadine,3 or 4 ice cubes,1 ounce port,,,,,,,,,
Bloody Mary III,1 ounce (2 tablespoons) vodka,2/3 cup tomato juice,Drained bottled horseradish to taste,Worcestershire sauce to taste,Tabasco to taste,Celery salt to taste,Freshly ground black pepper to taste,"Garnishes: lemon wedge, celery rib and/or cucumber stick",,,,,,
Brandy Alexander II,2 tablespoons brandy,2 tablespoons crème de cacao,2 tablespoons heavy cream,Freshly grated nutmeg to taste,,,,,,,,,,
Anaconda Keneipp,3 ounces (2 jiggers) vodka,3 ounces (2 jiggers) fresh lemon juice,Chilled club soda,Lemon slices for garnish,,,,,,,,,,
Evan's Champagne Julep,"3/4 cup loosely packed fresh mint leaves, rinsed and spun dry, plus fresh mint sprigs for garnish",1/4 cup bourbon,"A 750-ml. bottle champagne, chilled",,,,,,,,,,,
Amaretto Mimosa,"3 cups fresh orange juice, strained","1/4 cup almond-flavored liqueur such as Amaretto di Saronno, or to taste",A 750-ml. bottle chilled sparkling wine such as Freixenet,,,,,,,,,,,
Bloody Mary II,1 1/2 ounces (1 jigger) vodka,1/2 cup tomato juice,2 teaspoons fresh lemon juice,Worcestershire sauce to taste,Tabasco to taste,1 celery stick for garnish,1 lemon wedge for garnish,,,,,,,
Princess Mary,1 1/2 ounces gin,1 1/2 ounces crème de cacao,1 1/2 ounces heavy cream,3 or 4 ice cubes,,,,,,,,,,
Palm Beach,1 1/2 ounces gin,1/4 ounce sweet vermouth,1/2 tablespoon grapefruit juice,3 or 4 ice cubes,,,,,,,,,,
Bunny Hug or Earthquake,3/4 ounce gin,3/4 ounce whiskey,3/4 oumce Pernod,3 or 4 ice cubes,,,,,,,,,,
Silver King,1 1/2 ounces gin,2 tablespoons lemon juice,2 dashes sugar syrup,2 dashes orange bitters,1 egg white,3 or 4 ice cubes,,,,,,,,
Judge Jr.,3/4 ounce gin,3/4 ounce light rum,3/4 ounce lemon juice,1/4 teaspoon grenadine,3 or 4 ice cubes,,,,,,,,,
Little Devil,3/4 ounce gin,3/4 ounce light rum,1/4 ounce Cointreau or Triple Sec,1/4 ounce lemon juice,3 or 4 ice cubes,,,,,,,,,
Society,1 1/2 ounces gin,3/4 ounce dry vermouth,1/4 teaspoon grenadine,3 or 4 ice cubes,,,,,,,,,,
Buby,2 ounces gin,2 ounces lemon juice,1 teaspoon grenadine,3 or 4 ice cubes,,,,,,,,,,
Derby,1 1/2 ounces gin,2 dashes peach bitters,3 or 4 ice cubes,2 sprigs mint,,,,,,,,,,
Dempsey,1 ounce gin,1 ounce calvados or applejack,2 dashes Pernod,2 dashes grenadine,3 or 4 ice cubes,,,,,,,,,
Ideal,1 1/2 ounces gin,1/2 ounce sweet vermouth,1/4 teaspoon maraschino,1 tablespoon grapefruit juice,3 or 4 ice cubes,,,,,,,,,
Caruso,1 ounce gin,1 ounce dry vermouth,1 ounce green crème de menthe,3 or 4 ice cubes,,,,,,,,,,
Café de Paris,2 ounces gin,3 dashes Pernod,1 teaspoon heavy cream,1 egg white,3 or 4 ice cubes,,,,,,,,,
Cabaret,1 1/2 ounces gin,1/2 teaspoon dry vermouth,1/4 teaspoon Benedictine,2 dashes Angostura bitters,3 or 4 ice cubes,Maraschino cherry,,,,,,,,
Vodka Martini,2 or 2 1/2 ounces Vodka,1/4 or 1/2 ounce dry vermouth,3 or 4 ice cubes,Twist of lemon peel or an olive,,,,,,,,,,
Gimlet,2 ounces gin,2 ounces Rose's lime juice,2 ice cubes,,,,,,,,,,,
Modern Lemonade,1 1/2 ounces sherry,1 1/2 ounces sloe gin,2 tablespoons superfine sugar,4 tablespoons lemon juice,3 or 4 ice cubes,Twist lemon peel,Chilled club soda,,,,,,,
Country-Club Cooler,3 ounces dry vermouth,1 teaspoon grenadine,3 or 4 ice cubes,Chilled club soda,,,,,,,,,,
Rusty Nail,1 or 1 1/2 ounces Drambuie,1 or 1 1/2 ounces Scotch whiskey,2 or 3 ice cubes,,,,,,,,,,,
Rob Roy I,3 ounces Scotch whisky,1 ounce sweet vermouth,2 dashes Angostura bitters,5 or 6 ice cubes,Twist orange or lemon peel,,,,,,,,,
Honeymoon,1 1/2 ounces applejack,2/3 ounces Bénédictine,2 tablespoons lemon juice,3 dashes curaçao,3 or 4 ice cubes,,,,,,,,,
Fallen Angel,3 ounces gin,4 tablespoons lemon or lime juice,2 dashes green créme de menthe,Dash Angostura bitters,Maraschino cherry,,,,,,,,,
Batido de Piña,2-3 ounces light rum,"2/3 cup fresh pineapple, coarsely chopped",Superfine sugar to taste,1/2 cup crushed ice,Sprig fresh mint,,,,,,,,,
Green Dragon I,1 1/2 ounce dry gin,1 ounce green crème de menthe,1/2 ounce kümmel,1/2 ounce lemon juice,4 dashes peach bitters,3 or 4 ice cubes,,,,,,,,
Cupid,3 ounces sherry,1 egg,1 teaspoon superfine sugar,Pinch cayenne pepper,3 or 4 ice cubes,,,,,,,,,
