,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sloe Gin Spritz,4 ounces dry Prosecco or other sparkling white wine,1 ounce sloe gin,Club soda,Blueberries and a sprig of mint,,,,,,,,,,
Cocchi Spritz,4 ounces dry Prosecco or other sparkling white wine,2 ounces Cocchi Americano Rosa,Club soda,Orange wheel,,,,,,,,,,
Sbagliato,4 ounces dry Prosecco or other sparkling white wine,1 ounce sweet vermouth,1/2 ounce Campari,Club soda,Lime wheel,,,,,,,,,
Rum Swizzle,8 ounces Jamaican rum,4 ounces fresh lime juice,2 ounces simple syrup,A dash of Angostura bitters,"Freshly grated nutmeg, and a sprig of mint",,,,,,,,,
Seaside Cocktail,"1 (1 1/2"") piece peeled cucumber",2 ounces fino Sherry,3/4 ounce fresh lime juice,1/2 ounce dill pickle juice,1/2 ounce simple syrup,,,,,,,,,
Summer Fruit Shrub Cocktail,3/4 cup sugar,1/2 cup water,"1 1/2 pounds ripe fruit (such as peaches, strawberries, plums, or pineapple) cut into medium pieces",3 tablespoons distilled white vinegar,1 1/2 ounces spirit of choice,1/2 ounce lemon juice,,,,,,,,
Berry Dangerous Fix Cocktail,"2 ripe strawberries, divided",1 1/2 ounces aquavit (such as Krogstad),3/4 ounce fresh lemon juice,3/4 ounce Simple Syrup,1/4 ounce Campari,4 drops orange-blossom water,,,,,,,,
Wild Heart Cocktail,1 1/4 ounces Aperol,1 1/4 ounces vermouth (such as Dolin Blanc),3/4 ounce fresh lemon juice,2 dashes Angostura bitters,Bitter lemon soda (such as San Pellegrino Limonata or Fever-Tree Bitter Lemon),1/2 orange wheel,,,,,,,,
The Cherry Bomb,"4 fresh sweet cherries, halved, pitted",1/4 of a lemon,1/4 of a lime,5–6 fresh mint leaves,1/2 ounce simple syrup,1 dash Angostura bitters,2 ounces dark rum,Mint sprigs (for garnish),,,,,,
Kumbaya Cocktail,3 ounces mezcal,2 ounces Amaro Montenegro,1 ounce triple sec,An 8-ounce flask,,,,,,,,,,
"Goodnight, Irene Cocktail","4 ounces Islay scotch (such as Laphroaig, Caol Ila, or Ardbeg)",1/2 ounce simple syrup,4 dashes Angostura bitters,2 dashes orange bitters,An 8-ounce flask,,,,,,,,,
Tom Collins Bar,1 1/4 cups chilled gin,1 cup chilled fresh lemon juice,1/2 cup sugar,"2 lemons, cut into wedges","1 mango, cut into 1/2"" wedges","1/2 English hothouse cucumber, thinly sliced",6 sprigs mint,"1 (4"" piece) ginger, peeled, thinly sliced",1 cup fresh raspberries,"1 cup fresh strawberries, hulled, quartered",Club soda (for serving),,,
The Mosé,"2 strawberries, hulled, sliced",1 teaspoon sugar,2 ounces tequila blanco,1 ounce fresh lemon juice,3/4 ounce dry rosé,,,,,,,,,
Green Tea And Ginger Beer Float,3 scoops green tea ice cream,Ginger beer,1 ounce Irish whiskey (optional),Mint sprig (for serving),,,,,,,,,,
Coconut And Cream Float,3 scoops coconut ice cream,Cream soda,1 ounce rum (optional),Chocolate syrup (for serving),,,,,,,,,,
Vanilla Float with Bitters and Cherries,3 scoops vanilla ice cream,Seltzer,1 tablespoon Angostura bitters,1 ounce cherry brandy or kirsch (optional),Luxardo maraschino cherries (for serving),,,,,,,,,
Peach and Fizzy Grapefruit Float,3 scoops peach ice cream,Grapefruit soda,1 ounce Campari (optional),Tarragon or lemon verbena sprig (for serving),,,,,,,,,,
The Husker Dew,1 cup agave nectar,2 ounces dried coffee cherry husks,2 ounces blanco tequila,3/4 ounce fresh lime juice,1/2 ounce fresh pomegranate juice,3–4 dashes Angostura bitters,Ginger beer (such as Gosling's),Lime wheels (for serving),,,,,,
Green Goddess Cocktail,8 ounces vodka,1 teaspoon or 1 bag green tea,1/2 cup sugar,2 cups (packed) baby arugula,1 English hothouse cucumber,"1 jalapeño, quartered, seeded",4 ounces fresh lemon juice,Mint sprigs (for serving),,,,,,
The Green Vesper,1/2 cup sugar,3 cups arugula,1 1/2 ounces gin,1/2 ounce vodka,3/4 ounce fresh lemon juice,Pinch of salt,,,,,,,,
Derby Mint Julep,15 mint sprigs (1 bunch),1 cup raw sugar,"3 large fresh mint leaves, plus 3 mint sprigs for garnish","2 cups crushed ice, divided","1 1/2 ounces 100-proof bourbon (such as Four Roses), divided",12-ounce julep cup,,,,,,,,
The Shrubarb Cocktail,"2 pounds rhubarb, cut into 1/4"" pieces (about 6 cups)","1 (7-inch) piece ginger, unpeeled, cut into 1/4"" coins (about 1/4 cup)",3/4 cup apple cider vinegar,1 1/4 cups sugar,2 ounces gin,1/2 ounce fresh lime juice,Club soda (for serving),,,,,,,
Classic Martini,3/4 cup gin,2 teaspoons dry vermouth,"Green olives, with pimiento",,,,,,,,,,,
The Spring Forward,1 (750ml) bottle vodka,2 large rosemary sprigs,1 1/2 ounces rosemary-infused vodka,1/2 ounce simple syrup,1/2 ounce fresh ruby red grapefruit juice,1/2 ounce fresh lemon juice,"Rosemary sprig, for serving",,,,,,,
Especiado Cocktail,2 cups dried hibiscus flowers,1 cup (packed) light brown sugar,4 sprigs rosemary,8 whole cloves,6 allspice berries,"2 cinnamon sticks, plus more for serving","3 star anise pods, plus more for serving",12 ounces tequila or mezcal,"8 lemon slices, halved",,,,,
The Jimmie Roosevelt,1 sugar cube soaked with Angostura bitters,1 handful of cracked ice cubes,2 ounces Cognac,2 ounces Champagne,1/4 ounce Chartreuse liqueur,,,,,,,,,
Charred Rosemary–Infused Vodka,"1 large rosemary sprig, charred",1 750 ml bottle vodka (reserve bottle),,,,,,,,,,,,
White Noise Spritz,1 1/2 ounces Cocchi Americano Bianco,"1 ounce elderflower liqueur, such as St-Germain",2 ounces club soda,1 grapefruit twist,,,,,,,,,,
